q_id, query, is_relevant, rel_words
ST_011, Müdigkeitserkennung des Fahrers, No, driver: monitoring: camera: monitors: alertness: condition: detect: distraction: drowsiness: microsleeps: alert: time
CT_011, Müdigkeitserkennung des Fahrers, No, driver: drowsiness: detection: successful: market: years: already: pure: software: solution: without: need: additional: sensors: steering-angle: sensor: thus: easily: integrated: existing: vehicle: platforms: function: suitable: meet: emerging: legal: requirements
ST_012, Hill descent control, No, acc: lässt: ab: geschwindigkeit: etwa: stundenkilometern: aktivieren: unterstützt: fahrer: überlandfahrten: autobahn: variante: stop: go: geschwindigkeiten: stundenkilometer: aktiv: gewählten: abstand: vorausfahrenden: fahrzeug: niedriger: einhalten: selbsttätig: stillstand: abbremsen: weise: dichtem: verkehr: stau: entlasten
CT_012, Hill descent control, No, hill: assist-technologie: erleichtert: anfahren: manövrieren: gefällen: gefälle: verhindert: assist: ungefähr: sekunden: zurückrollen: fahrzeugs: zeit: brems-: gaspedal: wechseln
ST_013, Bergabfahr kontrolle, No, precise: inertial: measurement: sensors: provide: reliable: data: functions: chassis: controllers: electronic: braking: systems
CT_013, Bergabfahr kontrolle, No, mountain: driving: scenario: system: projects: image: oncoming: vehicles: obstruction: hidden: beyond: curve
ST_014, Intelligent speed adaptation, No, leistungsfähigkeit (performance): verkehrszeicheninformation (traffic sign information): zusätzlich (additional): optimiert (optimized): unterstützt (supported): system (system): künftigen (future): gesetzlichen (legal): anforderungen (requirements): general (general): safety (safety): regulation (regulation): gsr (gsr): intelligent (intelligent): speed (speed): limit (limit): assist (assist): erkennung (detection): geschwindigkeitsbegrenzungen (speed limits): warnung (warning): geschwindigkeitsüberschreitungen (over speeding)
CT_014, Intelligent speed adaptation, No, adaptive (adaptive): abstands- (distance control): geschwindigkeitsregelung (speed control): passt (fits): geschwindigkeit (speed): verkehrsfluss (traffic flow)
ST_015, Intelligente Geschwindigkeitsanpassung, No, detection (detection): implicit (implicit): explicit (explicit): speed (speed): limitation (limitation): signs (signs): inform (inform): driver (driver): maximum (maximum): allowed (allowed): velocity (velocity): includes (includes): conditional (conditional): limits (limits): supplementary (supplementary): sign (sign): optical (optical): character (character): reading (reading): optionally (optionally): sla (sla): extended (extended): intelligent (intelligent): assist (assist): isa (isa): adapting (adapting): cruise (cruise): control (control): limit (limit): information (information): traffic (traffic): recognition (recognition)
CT_015, Intelligente Geschwindigkeitsanpassung, No, intelligent: speed: assistance: system: designed: assist: driver: maintaining: matches: road: conditions: providing: targeted: appropriate: feedback
ST_016, Spur zentrierung, No, circular: area: includes: parking: meeting: room: run-up: acceleration: track: testing: used: braking: maneuvers: lane: changes: driving: circle: slalom: markings: provided: different: radii: addition: handling: course
CT_016, Spur zentrierung, No, lane: centering: assist: uses: multi: purpose: camera: generation: detect: boundaries: – (-): including: road: markings: structural: alongside: vehicle: compare: position: afterwards: system: aligns: keep: track: making: active: interventions: ensure: stays: center
