q_id, query, is_relevant, rel_words
ST_011, Müdigkeitserkennung des Fahrers, Yes, driver: monitoring: camera: monitors: alertness: condition: detect: distraction: drowsiness: microsleeps: alert
CT_011, Müdigkeitserkennung des Fahrers, Yes, driver: drowsiness: detection: successful: market: years: software: solution: sensors: steering-angle: sensor: integrated: existing: vehicle: function: emerging: legal: requirements
ST_012, Hill descent control, Yes, acc: geschwindigkeit (speed): stundenkilometern (hourly kilometers): aktivieren (activate): unterstützt (assisted): fahrer (driver): überlandfahrten (overland drives): stop: go: geschwindigkeiten (speeds): stundenkilometer (kilometers per hour): aktiv (active): abstand (distance): vorausfahrenden (ahead): fahrzeug (vehicle): niedriger (lower): selbsttätig (automatic): stillstand (standstill): abbremsen (slow down): verkehr (traffic): stau (traffic jam)
CT_012, Hill descent control, Yes, hill: assist-technologie (assist technology): anfahren (starting up): manövrieren (maneuvering): gefällen (downhill): gefälle (downhill): assist: zurückrollen (roll back): fahrzeugs (vehicle): brems- (brake): gaspedal (accelerator)
ST_013, Bergabfahr kontrolle, Yes, inertial: measurement: sensors: functions: chassis: controllers: electronic: braking: systems
CT_013, Bergabfahr kontrolle, Yes, mountain: driving: system: projects: image: vehicles: obstruction: hidden: beyond: curve
ST_014, Intelligent speed adaptation, Yes, leistungsfähigkeit (performance): verkehrszeicheninformation (traffic sign information): optimiert (optimized): unterstützt (supported): system: künftigen (future): gesetzlichen (legal): anforderungen (requirements): general: safety: regulation: gsr: intelligent: speed: limit: assist: erkennung (detection): geschwindigkeitsbegrenzungen (speed limits): warnung (warning): geschwindigkeitsüberschreitungen (over speeding)
CT_014, Intelligent speed adaptation, Yes, adaptive: abstands- (distance control): geschwindigkeitsregelung (speed control): geschwindigkeit (speed): verkehrsfluss (traffic flow)
ST_015, Intelligente Geschwindigkeitsanpassung, Yes, detection: implicit: explicit: speed: limitation: signs: driver: maximum: allowed: velocity: conditional: limits: supplementary: sign: optical: character: sla: extended: intelligent: assist: isa: adapting: cruise: control: limit: information: traffic: recognition
CT_015, Intelligente Geschwindigkeitsanpassung, Yes, intelligent: speed: assistance: system: assist: driver: maintaining: road: conditions: targeted: feedback
ST_016, Spur zentrierung, Yes, circular: area: parking: meeting: room: run-up: acceleration: track: testing: braking: maneuvers: lane: driving: circle: markings: provided: different: radii
CT_016, Spur zentrierung, Yes, lane: centering: assist: multi: purpose: camera: generation: detect: boundaries: road: markings: structural: vehicle: compare: position: afterwards: system: aligns: track: making: active: interventions: ensure: stays: center
ST_017, Spurwechsel assistenz, Yes, lane: departure: warning: video: camera: detect: markings: ahead: vehicle: warns: driver: leaving
CT_017, Spurwechsel assistenz, Yes, lane: change: assist: works: two: corner: radar: sensors: concealed: rear: bumper: left: right: monitor: alongside: behind: car: powerful: control: software: collates: sensor: information: create: complete: picture: traffic: vehicle
ST_018, Tire pressure monitoring, Yes, reifen (tire): reifenventil (tire valve): sensor: fahrt (drive): regelmäßig (regularly)
CT_018, Tire pressure monitoring, Yes, saugrohrluftdruck- (intake manifold air pressure): -temperatursensor (temperature sensor): misst (measures): druck (pressure): lufttemperatur (air temperature): saugrohr (intake manifold): mikromechanische (micromechanical): sensor: piezoresistives (piezoresistive): sensorelement (sensor element): messbare (measurable): elektrische (electrical): spannung (voltage): luftdruck (air pressure): gemessen (measured): optimiertes (optimized): kraftstoff-luft-gemisch (fuel-air mixture): effizientere (more efficient): verbrennung (combustion)
ST_019, Traktions steuersystem, No, accelerator-pedal: position: system: influence: engine: torque: cruise: control: active: safety: systems: electronic: stability: program: esp®
CT_019, Traktions steuersystem, Yes, traction: control: system: tcs: slopes: heating: equipment: split-μ: conditions: produce
ST_020, Traction control system, No, elektrohydraulische (electrohydraulic): lenksystem (steering system): servotwin®: schwere (heavy): nutzfahrzeuge (utility vehicles): innovative: kombination (combination): kugelmutter-hydrolenkung (ball nut hydraulic steering): rb-servocom®: elektronischen (electronic): antriebs- (drive): steuereinheit (control unit): system: bietet (offers): geschwindigkeitsabhängige (speed-dependent): lenkunterstützung (steering support): aktivem (active): rücklauf (reverse): diverse: fahrerassistenzfunktionen (driver assistance functions): ermöglicht (enables): automatisierte (automated): fahrfunktionen (driving functions): überlagerte (superimposed): elektrische (electrical): kreis (circle): ersetzt (replaced): benötigten (required): hydraulischen (hydraulic): gelenkten (steered): achsen (axes)
CT_020, Traction control system, No, bosch: zentrale (central): steuereinheit (control unit): antriebssystems (drive system): vernetzt (networked): einzelfunktionen (individual functions): gesamtsystem (overall system): laufen (running): sämtliche (all): systeminformationen (system information): zusammen (together): motorsteuergerät (engine control unit): verarbeitet (processed): software: informationen (information): steuert (controls): unterschiedlichen (different): funktionsgruppen (function groups)
