q_id, query, is_relevant, rel_words
ST_001, ignition interlock devices, No, estroller: system: bietet: bosch: innovative: mikro-mobilitätslösung: speziell: kinderwagen: elektrische: antriebssystem: perfekt: aufeinander: abgestimmten: komponenten: verschiedene: komfort-: unterstützungsfunktionen: eltern: funktionen: gehören: motorunterstützung: beim: bergauf-: bergabschieben: automatische: bremsunterstützung: handhabung: systems: erfolgt: dabei: ganz: intuitiv: schalter: griff: via: bluetooth: zugehörigen: smartphone-app: verbunden: weitere: ermöglicht
CT_001, ignition interlock devices, No, kühlmittel-schaltventile: steuern: kühlmitteldurchfluss: nebenkühlkreisläufen: antriebsstrangs: heizkreisläufen: fahrgastraums
ST_002, Zündschloss geräte, No, electronic: immobilizer: secures: vehicle: theft: achieved: transponder: code: ignition: key: switched: read: smartra: smart: intelligent: communications: interface: using: antenna: valid: releases: engine: electronics: system: another: coded: signal: required: start
CT_002, Zündschloss geräte, No, conveyor: belts: special: transport: bulk: material: mobile: machinery
ST_003, Anti lock braking system, Yes, antiblockiersystem: abs: verhindert: blockieren: räder: ermöglicht: sicheres: bremsen
CT_003, Anti lock braking system, Yes, antiblockiersystem: sicheren: bremsen: verkürzte: bremswege: verringerte: sturzgefahr: abrupten: bremsmanövern
ST_004, Automotive night vision, Yes, peugeot: kamera: oberseite: windschutzscheibe: lichtquellen: system: automatisch: abblend-: fernlicht: lichtverhältnissen: fahrzeugen: nutzungsdauer: fernlichtes: sicherheit
CT_004, Automotive night vision, Yes, off-highway: vision: system: zentral: 360°: view: full-hd: vier: kameras: steuereinheit: sichtbereiche: feldmaschine: fahrzeugs: manövrieren: gelände
ST_005, Nachtsicht im Auto, Yes, lights: system: vehicle: flash
CT_005, Nachtsicht im Auto, Yes, car
ST_006, Blind spot monitor, No, einparkhilfe: erweitert: peugeot: sw: 180°-videokamera: motorhaube: sehen: beim: parken: touchscreen: umgebung: kompaktlimousine: parksensoren: zusätzlich: kamerabild: genutzt
CT_006, Blind spot monitor, No, totwinkelwarner: erkennt: fahrzeuge: schlecht: einsehbaren: bereichen: warnt: gefahr: fahrer: optischen: signal
ST_007, Toter Winkel Monitor, No, autonomous: driving: mode: activated: set: sensors: monitor: road: provide: 360°: surveillance: vehicle: lidars: long-range: laser: scanners: frontal: radar: medium-range: corner: digital: cameras: four: 180°: ultrasound: belt
CT_007, Toter Winkel Monitor, No, steering-angle: sensor: fixed: onto: steering: shaft: hub: gear: wheel: transmits: rotary: movement: two: measuring: wheels: magnet: mounted: whose: field: changes: direction: accordance: rotational: gmr: element: located: detect: angle: position: analog: values: elements: converted: digital: information: directly: circuit: sent: microprocessor: via: serial: interface
ST_008, Collision avoidance system, Yes, automated: valet: sensorik (sensors): parking
CT_008, Collision avoidance system, Yes, anfahrinformationssystem (approach information system): kollisionen (collisions): nutzfahrzeugen (commercial vehicles): verkehrsteilnehmern (road users): kraftfahrzeug (motor vehicle)
ST_009, Kollisionsvermeidungs system, Yes, automatic: emergency: braking: cyclists: warning: predictive: pedestrian: bosch: assistance: urban
CT_009, Kollisionsvermeidungs system, Yes, intelligent: forward: collision: warning: radar: front: blinking: detection: indicator: sounding: audible: alert
ST_010, Driver drowsiness detection, Yes, fahrerbeobachtungskamera (driver observation camera): fahrers (driver): ablenkung (distraction): müdigkeit (tiredness)
