q_id, query, is_relevant, rel_words
ST_011, Müdigkeitserkennung des Fahrers, Yes, driver: monitoring: camera: monitors: alertness: condition: detect: distraction: drowsiness: microsleeps: alert
CT_011, Müdigkeitserkennung des Fahrers, Yes, driver: drowsiness: detection: steering-angle: sensor
ST_012, Hill descent control, No, 
CT_012, Hill descent control, Yes, hill: assist-technologie (assist technology): gefällen (downhill): gefälle (downhill): verhindert (prevented): assist: ungefähr (approximately): zurückrollen (roll back): fahrzeugs (vehicle): zeit (time): brems- (brake)
ST_013, Bergabfahr kontrolle, No, 
CT_013, Bergabfahr kontrolle, No, 
ST_014, Intelligent speed adaptation, Yes, leistungsfähigkeit (performance): verkehrszeicheninformation (traffic sign information): zusätzlich (additional): optimiert (optimized): unterstützt (supported): system: künftigen (future): gesetzlichen (legal): anforderungen (requirements): general: regulation: gsr: speed: limit: assist: erkennung (detection): geschwindigkeitsbegrenzungen (speed limits): warnung (warning)
CT_014, Intelligent speed adaptation, Yes, adaptive: geschwindigkeitsregelung (speed control): geschwindigkeit (speed): verkehrsfluss (traffic flow)
ST_015, Intelligente Geschwindigkeitsanpassung, Yes, detection: speed: limitation: signs: inform: driver: maximum: allowed: velocity: conditional: limits: sign: extended: intelligent: assist: adapting: cruise: control: limit: information: traffic: recognition
CT_015, Intelligente Geschwindigkeitsanpassung, Yes, intelligent: speed: assistance: assist: driver: maintaining: road: targeted: appropriate: feedback
ST_016, Spur zentrierung, No, 
CT_016, Spur zentrierung, Yes, lane: centering: assist: camera: generation: detect: boundaries: markings: structural: vehicle: position: track: active: interventions: ensure: stays: center
ST_017, Spurwechsel assistenz, Yes, lane: video: camera: detect: markings: ahead: vehicle: warns: driver: leaving
CT_017, Spurwechsel assistenz, Yes, lane: change: assist: corner: radar: sensors: concealed: rear: bumper: monitor: area: behind: car: powerful: control: collates: sensor: vehicle
ST_018, Tire pressure monitoring, Yes, reifen (tire): sensor: regelmäßig (regularly)
CT_018, Tire pressure monitoring, No, 
