q_id, query, is_relevant, rel_words
ST_011, Müdigkeitserkennung des Fahrers, Yes, driver: camera: alertness: detect: distraction: drowsiness: microsleeps: alert
CT_011, Müdigkeitserkennung des Fahrers, Yes, driver: drowsiness: detection: market: years: software: solution: sensors: steering-angle: sensor: vehicle: platforms: function: suitable: legal
ST_012, Hill descent control, No, acc: lässt (lets): ab (from): geschwindigkeit (speed): etwa (about): stundenkilometern (hourly kilometers): aktivieren (activate): unterstützt (assisted): fahrer (driver): überlandfahrten (overland drives): autobahn: variante (variant): stop: go: geschwindigkeiten (speeds): stundenkilometer (kilometers per hour): aktiv (active): gewählten (selected): abstand (distance): vorausfahrenden (ahead): fahrzeug (vehicle): niedriger (lower): einhalten (keep): selbsttätig (automatic): stillstand (standstill): abbremsen (slow down): weise (wise): dichtem (dense): verkehr (traffic): stau (traffic jam): entlasten (relieve)
CT_012, Hill descent control, Yes, hill: assist-technologie (assist technology): anfahren (starting up): gefälle (downhill): zurückrollen (roll back): fahrzeugs (vehicle): zeit (time): brems- (brake): gaspedal (accelerator)
ST_013, Bergabfahr kontrolle, No, precise: inertial: measurement: sensors: provide: reliable: data: functions: chassis: controllers: electronic: braking: systems
CT_013, Bergabfahr kontrolle, No, mountain: driving: scenario: system: projects: image: oncoming: vehicles: obstruction: hidden: beyond: curve
ST_014, Intelligent speed adaptation, Yes, verkehrszeicheninformation (traffic sign information): gesetzlichen (legal): anforderungen (requirements): gsr: intelligent: erkennung (detection): geschwindigkeitsbegrenzungen (speed limits): geschwindigkeitsüberschreitungen (over speeding)
CT_014, Intelligent speed adaptation, Yes, abstands- (distance control): geschwindigkeit (speed): verkehrsfluss (traffic flow)
ST_015, Intelligente Geschwindigkeitsanpassung, Yes, detection: speed: velocity: limits: sla: intelligent: assist: isa: control: limit: traffic: recognition
CT_015, Intelligente Geschwindigkeitsanpassung, Yes, road: conditions: feedback
ST_016, Spur zentrierung, Yes, circular: area: parking: meeting: room: acceleration: driving: circle: markings: different: course
CT_016, Spur zentrierung, Yes, centering: assist: camera: generation: boundaries: including: vehicle: position: interventions: center
ST_017, Spurwechsel assistenz, Yes, lane: departure: warning: video: camera: markings: warns: driver
CT_017, Spurwechsel assistenz, No, lane: change: assist: works: using: two: corner: radar: sensors: concealed: rear: bumper: – (-): one: left: right: monitor: area: alongside: behind: car: powerful: control: software: collates: sensor: information: create: complete: picture: traffic: vehicle
ST_018, Tire pressure monitoring, Yes, reifen (tire): reifenventil (tire valve): sensor: fahrt (drive): regelmäßig (regularly)
